type,name,glon,glat,distance (parsecs),x (parsecs),y (parsecs),z (parsecs),radius (parsecs),log10 age (years),Arm (masers),Source
open cluster,Gulliver_28,53.813,-0.902,621.3,366.784079663138,501.385548222914,-9.78064102564129,6.01845874473124,unknown,,2020A&A...633A..99C
open cluster,Gulliver_29,350.23,3.28,1070.9,1053.6397613261,-181.427095313127,61.2721179569308,12.6916004679969,unknown,,2020A&A...633A..99C
open cluster,Gulliver_3,254.333,-2.144,4550.3,-1227.92979380039,-4378.17766067468,-170.231850916597,2.77962043911677,unknown,,2020A&A...633A..99C
open cluster,Gulliver_30,86.299,0.646,2192.3,141.503367907812,2187.58888801492,24.7172794700643,3.17581903638783,unknown,,2020A&A...633A..99C
open cluster,Gulliver_31,74.896,3.094,2352.8,612.179931298968,2268.21007792535,126.990606395485,3.16193811491883,unknown,,2020A&A...633A..99C
open cluster,Gulliver_32,204.24,-0.546,1649.8,-1504.27495559725,-677.310661026171,-15.7215273803595,2.87944712370668,unknown,,2020A&A...633A..99C
open cluster,Gulliver_33,88.629,-1.439,1116.5,26.7051559746094,1115.82836493677,-28.0382711111928,6.04090528727346,unknown,,2020A&A...633A..99C
open cluster,Gulliver_34,290.35,1.235,3972.3,1381.06225229373,-3723.50699207602,85.6155666357969,3.11983776595464,unknown,,2020A&A...633A..99C
open cluster,Gulliver_35,282.065,-2.386,2301.9,480.728831476752,-2249.10197756776,-95.8315975437492,3.61581903854162,unknown,,2020A&A...633A..99C
open cluster,Gulliver_36,252.834,-0.537,1326.7,-391.546531981184,-1267.54471078492,-12.4342050277647,3.24174609768836,unknown,,2020A&A...633A..99C
open cluster,Gulliver_37,59.547,3.806,1490.9,753.968389273328,1282.38866788886,98.9635409977464,2.7322200095246,unknown,,2020A&A...633A..99C
open cluster,Gulliver_38,71.209,1.814,2329.1,749.866705874149,2203.85366372391,73.727622450051,2.43902870805682,unknown,,2020A&A...633A..99C
open cluster,Gulliver_39,287.984,1.395,2747.5,848.043044801175,-2612.49024449621,66.8877161853088,2.15788189763119,unknown,,2020A&A...633A..99C
open cluster,Gulliver_4,254.386,-2.531,3042.1,-817.998148071108,-2926.97873297084,-134.338886733029,4.19448089088573,unknown,,2020A&A...633A..99C
open cluster,Gulliver_40,287.85,0.948,1618.7,496.105847680183,-1540.56854371393,26.7813370965686,2.31663643904848,unknown,,2020A&A...633A..99C
open cluster,Gulliver_41,19.546,-1.16,5000.2,4711.088738084,1672.54183571976,-101.226230124925,2.79263879463069,unknown,,2020A&A...633A..99C
open cluster,Gulliver_42,75.45,1.552,4763.9,1196.37067157277,4609.42432544245,129.026409001845,4.48987130212861,unknown,,2020A&A...633A..99C
open cluster,Gulliver_43,60.718,0.091,2631.6,1287.13619717668,2295.33908182668,4.17963594097413,3.44475831216154,unknown,,2020A&A...633A..99C
open cluster,Gulliver_44,257.143,0.452,1228.2,-273.288721336013,-1197.36988330641,9.68903201109406,4.05144399691654,unknown,,2020A&A...633A..99C
open cluster,Gulliver_45,210.968,2.978,3196.9,-2737.4954778103,-1642.77303312384,166.086967005991,3.01300815839437,unknown,,2020A&A...633A..99C
open cluster,Gulliver_46,299.824,0.739,4766.3,2370.26210932,-4134.69396403889,61.4739527137612,1.99650319207591,unknown,,2020A&A...633A..99C
open cluster,Gulliver_47,214.512,4.891,1922.2,-1578.13981877113,-1085.11216744535,163.887572656031,5.4013579563357,unknown,,2020A&A...633A..99C
open cluster,Gulliver_48,91.033,2.426,919.8,-16.5675444299688,918.826251686873,38.934248196302,4.49502655222985,unknown,,2020A&A...633A..99C
open cluster,Gulliver_49,112.729,0.885,1621.7,-626.506238180698,1495.58464114063,25.0480479262261,4.41543560961266,unknown,,2020A&A...633A..99C
open cluster,Gulliver_5,265.458,-0.896,2297.8,-181.940195419283,-2290.30380201541,-35.9318767192783,4.29115177265669,unknown,,2020A&A...633A..99C
open cluster,Gulliver_50,297.682,-0.275,1841.7,855.577421094003,-1630.87952648389,-8.8394914904788,3.40723914370065,unknown,,2020A&A...633A..99C
open cluster,Gulliver_51,130.555,1.968,1479.6,-961.435479490537,1123.51064870191,50.811426177735,1.93679297715238,unknown,,2020A&A...633A..99C
open cluster,Gulliver_52,287.696,-0.378,2350.8,714.549019488917,-2239.51776326716,-15.50892511634,6.27748252969198,unknown,,2020A&A...633A..99C
open cluster,Gulliver_53,173.226,-1.141,2421.9,-2404.51618014165,285.614605810635,-48.2270296065003,5.19923387293914,unknown,,2020A&A...633A..99C
open cluster,Gulliver_54,173.645,-1.103,1219,-1211.28495426996,134.904151163863,-23.465497181374,2.17010977787783,unknown,,2020A&A...633A..99C
open cluster,Gulliver_55,56.348,-4.127,2513.2,1389.07163036315,2086.60987714986,-180.868643774685,3.72840998993293,unknown,,2020A&A...633A..99C
